ip_address,domain
185.70.198.12,pl.secretgate.net
185.70.198.27,pl.secretgate.net
123.253.91.10,us-hou.securetunnels.net
123.253.91.18,us-hou.securetunnels.net
123.253.91.2,us-hou.securetunnels.net
123.253.91.26,us-hou.securetunnels.net
45.133.181.42,id.torguard.org
45.133.181.46,id.torguard.org
45.133.181.50,id.torguard.org
185.236.201.210,swiss.torguard.org
185.236.201.215,swiss.torguard.org
195.206.105.12,swiss.torguard.org
195.206.105.17,swiss.torguard.org
195.206.105.2,swiss.torguard.org
195.206.105.22,swiss.torguard.org
195.206.105.27,swiss.torguard.org
195.206.105.32,swiss.torguard.org
195.206.105.37,swiss.torguard.org
195.206.105.42,swiss.torguard.org
195.206.105.47,swiss.torguard.org
195.206.105.52,swiss.torguard.org
195.206.105.57,swiss.torguard.org
195.206.105.7,swiss.torguard.org
217.138.203.242,swiss.torguard.org
178.175.131.106,md.torguard.org
178.175.131.114,md.torguard.org
178.175.138.18,md.torguard.org
185.242.5.162,us-lv.torguard.org
185.242.5.170,us-lv.torguard.org
185.242.5.178,us-lv.torguard.org
185.242.5.186,us-lv.torguard.org
185.242.5.66,us-lv.torguard.org
185.242.5.74,us-lv.torguard.org
185.242.5.82,us-lv.torguard.org
185.242.5.90,us-lv.torguard.org
37.120.147.234,us-lv.torguard.org
37.120.147.242,us-lv.torguard.org
37.120.147.250,us-lv.torguard.org
45.89.173.106,us-lv.torguard.org
45.89.173.114,us-lv.torguard.org
45.89.173.122,us-lv.torguard.org
45.89.173.162,us-lv.torguard.org
45.89.173.98,us-lv.torguard.org
45.9.249.158,uae.torguard.org
45.9.249.238,uae.torguard.org
45.9.250.10,uae.torguard.org
146.70.76.106,middleeast.torguard.org
146.70.76.114,middleeast.torguard.org
146.70.76.58,middleeast.torguard.org
146.70.76.66,middleeast.torguard.org
146.70.76.74,middleeast.torguard.org
146.70.76.90,middleeast.torguard.org
146.70.76.98,middleeast.torguard.org
188.213.34.50,middleeast.torguard.org
188.213.34.58,middleeast.torguard.org
45.133.181.42,middleeast.torguard.org
45.133.181.46,middleeast.torguard.org
45.133.181.50,middleeast.torguard.org
45.9.249.158,middleeast.torguard.org
45.9.249.238,middleeast.torguard.org
45.9.250.10,middleeast.torguard.org
45.133.180.130,br.securetunnels.net
45.133.180.138,br.securetunnels.net
45.133.180.146,br.securetunnels.net
45.133.180.154,br.securetunnels.net
45.133.180.162,br.securetunnels.net
146.70.83.130,uk.torguard.org
146.70.83.146,uk.torguard.org
146.70.83.154,uk.torguard.org
146.70.83.162,uk.torguard.org
146.70.83.170,uk.torguard.org
146.70.83.178,uk.torguard.org
146.70.83.186,uk.torguard.org
146.70.83.194,uk.torguard.org
146.70.83.202,uk.torguard.org
146.70.83.210,uk.torguard.org
146.70.83.218,uk.torguard.org
146.70.83.226,uk.torguard.org
146.70.83.234,uk.torguard.org
146.70.83.242,uk.torguard.org
146.70.83.250,uk.torguard.org
185.253.98.42,uk.torguard.org
37.120.198.162,uk.torguard.org
185.191.204.154,isr-loc1.torguard.org
185.191.204.155,isr-loc1.torguard.org
167.99.116.164,ny.usa.secretgate.net
185.232.21.210,bg.securetunnels.net
185.232.21.242,bg.securetunnels.net
185.232.21.250,bg.securetunnels.net
185.232.21.34,bg.securetunnels.net
185.232.21.42,bg.securetunnels.net
89.249.73.130,bg.securetunnels.net
89.249.73.250,bg.securetunnels.net
45.133.180.10,mx.torguard.org
45.133.180.18,mx.torguard.org
45.133.180.2,mx.torguard.org
45.133.180.26,mx.torguard.org
45.133.180.34,mx.torguard.org
139.28.217.178,nl2.securetunnels.net
139.28.217.186,nl2.securetunnels.net
139.28.217.210,nl2.securetunnels.net
139.28.217.218,nl2.securetunnels.net
139.28.217.242,nl2.securetunnels.net
139.28.217.82,nl2.securetunnels.net
37.120.238.130,nl2.securetunnels.net
77.243.189.194,nl2.securetunnels.net
77.243.189.234,nl2.securetunnels.net
86.106.20.98,nl2.securetunnels.net
95.174.67.130,nl2.securetunnels.net
95.174.67.138,nl2.securetunnels.net
95.174.67.90,nl2.securetunnels.net
139.28.216.218,us-la.torguard.org
139.28.216.74,us-la.torguard.org
146.70.49.10,us-la.torguard.org
146.70.49.106,us-la.torguard.org
146.70.49.18,us-la.torguard.org
146.70.49.2,us-la.torguard.org
146.70.49.26,us-la.torguard.org
146.70.49.34,us-la.torguard.org
146.70.49.42,us-la.torguard.org
146.70.49.58,us-la.torguard.org
146.70.49.66,us-la.torguard.org
146.70.49.74,us-la.torguard.org
146.70.49.98,us-la.torguard.org
185.253.161.186,us-la.torguard.org
217.138.217.2,us-la.torguard.org
37.120.147.130,us-la.torguard.org
37.120.214.114,us-la.torguard.org
37.120.214.122,us-la.torguard.org
91.219.212.242,us-la.torguard.org
103.108.94.58,nz.torguard.org
103.231.90.18,nz.torguard.org
103.231.90.2,nz.torguard.org
103.231.90.202,nz.torguard.org
103.231.90.26,nz.torguard.org
103.231.90.42,nz.torguard.org
185.128.27.106,it.securetunnels.net
192.145.127.190,it.securetunnels.net
45.9.251.14,it.securetunnels.net
45.9.251.178,it.securetunnels.net
45.9.251.182,it.securetunnels.net
167.88.15.50,us-chi-loc2.torguard.org
167.88.3.210,us-chi-loc2.torguard.org
64.44.140.250,us-chi-loc2.torguard.org
64.44.63.98,us-chi-loc2.torguard.org
192.145.124.226,sp.securetunnels.net
192.145.124.230,sp.securetunnels.net
192.145.124.234,sp.securetunnels.net
192.145.124.242,sp.securetunnels.net
89.238.178.206,sp.securetunnels.net
89.238.178.234,sp.securetunnels.net
45.128.36.130,us-chi.torguard.org
45.128.36.146,us-chi.torguard.org
45.128.36.154,us-chi.torguard.org
45.128.36.162,us-chi.torguard.org
45.128.36.170,us-chi.torguard.org
45.128.36.178,us-chi.torguard.org
45.128.36.186,us-chi.torguard.org
45.128.36.194,us-chi.torguard.org
45.128.36.202,us-chi.torguard.org
167.88.15.50,us-chi.securetunnels.net
167.88.3.210,us-chi.securetunnels.net
45.128.36.130,us-chi.securetunnels.net
45.128.36.146,us-chi.securetunnels.net
45.128.36.154,us-chi.securetunnels.net
45.128.36.162,us-chi.securetunnels.net
45.128.36.170,us-chi.securetunnels.net
45.128.36.178,us-chi.securetunnels.net
45.128.36.186,us-chi.securetunnels.net
45.128.36.194,us-chi.securetunnels.net
45.128.36.202,us-chi.securetunnels.net
64.44.140.250,us-chi.securetunnels.net
64.44.63.98,us-chi.securetunnels.net
206.189.53.95,ger.secretgate.net
185.125.168.247,no.securetunnels.net
185.125.168.248,no.securetunnels.net
185.125.169.25,no.securetunnels.net
185.125.169.26,no.securetunnels.net
185.125.169.29,no.securetunnels.net
185.125.169.30,no.securetunnels.net
185.125.169.31,no.securetunnels.net
185.125.169.32,no.securetunnels.net
185.181.61.37,no.securetunnels.net
185.181.61.39,no.securetunnels.net
146.70.51.10,us-fl.torguard.org
146.70.51.106,us-fl.torguard.org
146.70.51.114,us-fl.torguard.org
146.70.51.122,us-fl.torguard.org
146.70.51.130,us-fl.torguard.org
146.70.51.154,us-fl.torguard.org
146.70.51.162,us-fl.torguard.org
146.70.51.170,us-fl.torguard.org
146.70.51.178,us-fl.torguard.org
146.70.51.18,us-fl.torguard.org
146.70.51.2,us-fl.torguard.org
146.70.51.26,us-fl.torguard.org
146.70.51.34,us-fl.torguard.org
146.70.51.42,us-fl.torguard.org
146.70.51.50,us-fl.torguard.org
146.70.51.58,us-fl.torguard.org
146.70.51.66,us-fl.torguard.org
146.70.51.74,us-fl.torguard.org
146.70.51.82,us-fl.torguard.org
146.70.51.90,us-fl.torguard.org
146.70.51.98,us-fl.torguard.org
185.245.84.74,dn.securetunnels.net
2.58.46.138,dn.securetunnels.net
2.58.46.146,dn.securetunnels.net
2.58.46.154,dn.securetunnels.net
2.58.46.178,dn.securetunnels.net
45.12.221.18,dn.securetunnels.net
45.12.221.2,dn.securetunnels.net
45.12.221.26,dn.securetunnels.net
45.12.221.34,dn.securetunnels.net
45.12.221.42,dn.securetunnels.net
31.40.212.130,ar.torguard.org
31.40.212.136,ar.torguard.org
31.40.212.154,ar.torguard.org
31.40.212.42,ar.torguard.org
31.40.212.70,ar.torguard.org
31.40.212.88,ar.torguard.org
194.28.172.172,ukr.torguard.org
194.28.172.173,ukr.torguard.org
89.45.6.218,hk.securetunnels.net
89.45.6.226,hk.securetunnels.net
89.45.6.234,hk.securetunnels.net
185.128.27.106,it.torguard.org
192.145.127.190,it.torguard.org
45.9.251.14,it.torguard.org
45.9.251.178,it.torguard.org
45.9.251.182,it.torguard.org
37.120.153.102,swe.torguard.org
37.120.153.12,swe.torguard.org
37.120.153.2,swe.torguard.org
37.120.153.22,swe.torguard.org
37.120.153.27,swe.torguard.org
37.120.153.32,swe.torguard.org
37.120.153.37,swe.torguard.org
37.120.153.42,swe.torguard.org
37.120.153.47,swe.torguard.org
37.120.153.57,swe.torguard.org
37.120.153.67,swe.torguard.org
37.120.153.7,swe.torguard.org
37.120.153.72,swe.torguard.org
37.120.153.77,swe.torguard.org
37.120.153.82,swe.torguard.org
37.120.153.87,swe.torguard.org
37.120.153.92,swe.torguard.org
37.120.153.97,swe.torguard.org
178.175.131.106,md.securetunnels.net
178.175.131.114,md.securetunnels.net
85.239.41.33,cy.torguard.org
85.239.41.99,cy.torguard.org
172.245.235.15,us-slc.torguard.org
172.245.235.2,us-slc.torguard.org
172.245.235.7,us-slc.torguard.org
208.115.247.162,us-slc.torguard.org
37.120.155.10,aus.torguard.org
37.120.155.18,aus.torguard.org
37.120.155.2,aus.torguard.org
37.120.155.26,aus.torguard.org
37.120.155.34,aus.torguard.org
146.70.76.106,jp.securetunnels.net
146.70.76.114,jp.securetunnels.net
146.70.76.58,jp.securetunnels.net
146.70.76.66,jp.securetunnels.net
146.70.76.74,jp.securetunnels.net
146.70.76.90,jp.securetunnels.net
146.70.76.98,jp.securetunnels.net
146.70.83.130,uk.securetunnels.net
146.70.83.146,uk.securetunnels.net
146.70.83.154,uk.securetunnels.net
146.70.83.162,uk.securetunnels.net
146.70.83.170,uk.securetunnels.net
146.70.83.178,uk.securetunnels.net
146.70.83.186,uk.securetunnels.net
146.70.83.194,uk.securetunnels.net
146.70.83.202,uk.securetunnels.net
146.70.83.210,uk.securetunnels.net
146.70.83.218,uk.securetunnels.net
146.70.83.226,uk.securetunnels.net
146.70.83.234,uk.securetunnels.net
146.70.83.242,uk.securetunnels.net
146.70.83.250,uk.securetunnels.net
185.253.98.42,uk.securetunnels.net
37.120.198.162,uk.securetunnels.net
103.108.94.50,nz.securetunnels.net
103.108.94.58,nz.securetunnels.net
103.231.90.10,nz.securetunnels.net
103.231.90.18,nz.securetunnels.net
103.231.90.2,nz.securetunnels.net
103.231.90.202,nz.securetunnels.net
103.231.90.26,nz.securetunnels.net
103.231.90.34,nz.securetunnels.net
103.231.90.42,nz.securetunnels.net
146.70.142.10,in.securetunnels.net
146.70.142.34,in.securetunnels.net
146.70.142.42,in.securetunnels.net
193.56.253.130,au.torguard.org
193.56.253.18,au.torguard.org
193.56.253.34,au.torguard.org
193.56.253.50,au.torguard.org
193.56.253.66,au.torguard.org
193.56.253.82,au.torguard.org
193.56.253.98,au.torguard.org
217.138.205.114,au.torguard.org
217.138.205.202,au.torguard.org
217.138.205.210,au.torguard.org
217.138.205.218,au.torguard.org
217.138.205.98,au.torguard.org
93.115.35.106,au.torguard.org
93.115.35.146,au.torguard.org
93.115.35.154,au.torguard.org
146.70.115.218,us-ny.torguard.org
146.70.215.18,us-ny.torguard.org
146.70.215.26,us-ny.torguard.org
146.70.215.34,us-ny.torguard.org
146.70.215.42,us-ny.torguard.org
146.70.215.50,us-ny.torguard.org
146.70.215.58,us-ny.torguard.org
193.148.18.242,us-ny.torguard.org
185.45.15.106,ro.torguard.org
194.59.248.202,ro.torguard.org
31.14.252.146,ro.torguard.org
31.14.252.178,ro.torguard.org
31.14.252.90,ro.torguard.org
89.40.71.106,ro.torguard.org
89.46.103.106,ro.torguard.org
93.120.27.162,ro.torguard.org
91.132.197.186,fn.torguard.org
91.132.197.188,fn.torguard.org
91.132.197.192,fn.torguard.org
146.70.57.10,us-atl.torguard.org
146.70.57.18,us-atl.torguard.org
146.70.57.2,us-atl.torguard.org
146.70.57.34,us-atl.torguard.org
146.70.57.42,us-atl.torguard.org
146.70.57.50,us-atl.torguard.org
146.70.57.58,us-atl.torguard.org
146.70.57.66,us-atl.torguard.org
146.70.57.74,us-atl.torguard.org
146.70.115.218,us-ny.securetunnels.net
146.70.215.18,us-ny.securetunnels.net
146.70.215.26,us-ny.securetunnels.net
146.70.215.34,us-ny.securetunnels.net
146.70.215.42,us-ny.securetunnels.net
146.70.215.50,us-ny.securetunnels.net
146.70.215.58,us-ny.securetunnels.net
193.148.18.242,us-ny.securetunnels.net
185.125.168.247,no.torguard.org
185.125.168.248,no.torguard.org
185.125.169.25,no.torguard.org
185.125.169.26,no.torguard.org
185.125.169.29,no.torguard.org
185.125.169.30,no.torguard.org
185.125.169.31,no.torguard.org
185.125.169.32,no.torguard.org
185.181.61.37,no.torguard.org
185.181.61.39,no.torguard.org
5.253.204.58,lux.securetunnels.net
5.253.204.66,lux.securetunnels.net
5.253.204.74,lux.securetunnels.net
5.253.204.82,lux.securetunnels.net
185.232.21.210,bg.torguard.org
185.232.21.242,bg.torguard.org
185.232.21.250,bg.torguard.org
185.232.21.34,bg.torguard.org
185.232.21.42,bg.torguard.org
89.249.73.130,bg.torguard.org
89.249.73.250,bg.torguard.org
103.252.116.135,hk.secretgate.net
103.252.116.177,hk.secretgate.net
45.133.181.66,tw.torguard.org
146.70.54.90,serbia.torguard.org
185.245.84.74,dn.torguard.org
2.58.46.138,dn.torguard.org
2.58.46.146,dn.torguard.org
2.58.46.154,dn.torguard.org
2.58.46.178,dn.torguard.org
45.12.221.18,dn.torguard.org
45.12.221.2,dn.torguard.org
45.12.221.26,dn.torguard.org
45.12.221.34,dn.torguard.org
45.12.221.42,dn.torguard.org
45.133.181.66,tw.securetunnels.net
139.28.216.218,us-la.securetunnels.net
139.28.216.74,us-la.securetunnels.net
146.70.49.10,us-la.securetunnels.net
146.70.49.106,us-la.securetunnels.net
146.70.49.18,us-la.securetunnels.net
146.70.49.2,us-la.securetunnels.net
146.70.49.26,us-la.securetunnels.net
146.70.49.34,us-la.securetunnels.net
146.70.49.42,us-la.securetunnels.net
146.70.49.58,us-la.securetunnels.net
146.70.49.66,us-la.securetunnels.net
146.70.49.74,us-la.securetunnels.net
146.70.49.98,us-la.securetunnels.net
185.253.161.186,us-la.securetunnels.net
217.138.217.2,us-la.securetunnels.net
37.120.147.130,us-la.securetunnels.net
37.120.214.114,us-la.securetunnels.net
37.120.214.122,us-la.securetunnels.net
91.219.212.242,us-la.securetunnels.net
31.40.212.130,ar.securetunnels.net
31.40.212.136,ar.securetunnels.net
31.40.212.154,ar.securetunnels.net
31.40.212.42,ar.securetunnels.net
146.70.34.10,us-nj.torguard.org
146.70.34.106,us-nj.torguard.org
146.70.34.122,us-nj.torguard.org
146.70.34.130,us-nj.torguard.org
146.70.34.138,us-nj.torguard.org
146.70.34.146,us-nj.torguard.org
146.70.34.162,us-nj.torguard.org
146.70.34.170,us-nj.torguard.org
146.70.34.178,us-nj.torguard.org
146.70.34.18,us-nj.torguard.org
146.70.34.186,us-nj.torguard.org
146.70.34.194,us-nj.torguard.org
146.70.34.2,us-nj.torguard.org
146.70.34.26,us-nj.torguard.org
146.70.34.34,us-nj.torguard.org
146.70.34.58,us-nj.torguard.org
146.70.34.66,us-nj.torguard.org
146.70.34.90,us-nj.torguard.org
146.70.34.98,us-nj.torguard.org
146.70.51.10,us-fl.securetunnels.net
146.70.51.106,us-fl.securetunnels.net
146.70.51.114,us-fl.securetunnels.net
146.70.51.122,us-fl.securetunnels.net
146.70.51.130,us-fl.securetunnels.net
146.70.51.154,us-fl.securetunnels.net
146.70.51.162,us-fl.securetunnels.net
146.70.51.170,us-fl.securetunnels.net
146.70.51.178,us-fl.securetunnels.net
146.70.51.18,us-fl.securetunnels.net
146.70.51.2,us-fl.securetunnels.net
146.70.51.26,us-fl.securetunnels.net
146.70.51.34,us-fl.securetunnels.net
146.70.51.42,us-fl.securetunnels.net
146.70.51.50,us-fl.securetunnels.net
146.70.51.58,us-fl.securetunnels.net
146.70.51.66,us-fl.securetunnels.net
146.70.51.74,us-fl.securetunnels.net
146.70.51.82,us-fl.securetunnels.net
146.70.51.90,us-fl.securetunnels.net
146.70.51.98,us-fl.securetunnels.net
95.111.216.165,au.secretgate.net
95.111.216.215,au.secretgate.net
108.181.51.205,sk.securetunnels.net
108.181.51.226,sk.securetunnels.net
45.92.33.10,gre.securetunnels.net
45.92.33.2,gre.securetunnels.net
5.253.204.58,lux.torguard.org
5.253.204.66,lux.torguard.org
5.253.204.74,lux.torguard.org
5.253.204.82,lux.torguard.org
93.177.73.106,ger.torguard.org
93.177.73.114,ger.torguard.org
93.177.73.122,ger.torguard.org
93.177.73.130,ger.torguard.org
93.177.73.138,ger.torguard.org
93.177.73.146,ger.torguard.org
93.177.73.154,ger.torguard.org
93.177.73.194,ger.torguard.org
93.177.73.202,ger.torguard.org
93.177.73.210,ger.torguard.org
93.177.73.218,ger.torguard.org
93.177.73.226,ger.torguard.org
93.177.73.234,ger.torguard.org
93.177.73.66,ger.torguard.org
93.177.73.74,ger.torguard.org
93.177.73.82,ger.torguard.org
93.177.73.90,ger.torguard.org
93.177.73.98,ger.torguard.org
192.145.124.226,sp.torguard.org
192.145.124.230,sp.torguard.org
192.145.124.234,sp.torguard.org
192.145.124.242,sp.torguard.org
89.238.178.206,sp.torguard.org
89.238.178.234,sp.torguard.org
195.248.234.146,ukr.secretgate.net
167.88.15.50,us-chi-loc2.securetunnels.net
167.88.3.210,us-chi-loc2.securetunnels.net
64.44.140.250,us-chi-loc2.securetunnels.net
64.44.63.98,us-chi-loc2.securetunnels.net
37.120.155.10,aus.securetunnels.net
37.120.155.18,aus.securetunnels.net
37.120.155.2,aus.securetunnels.net
37.120.155.26,aus.securetunnels.net
37.120.155.34,aus.securetunnels.net
185.191.204.154,isr-loc1.securetunnels.net
185.191.204.155,isr-loc1.securetunnels.net
146.70.50.10,us-dal.securetunnels.net
146.70.50.106,us-dal.securetunnels.net
